week_sort,value,type,Season,Age Group
År 1 uge 44,4.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 44,1.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 44,2.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 44,3.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 44,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 44,54.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 44,234.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 45,0.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 45,5.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 45,3.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 45,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 45,11.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 45,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 45,42.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 45,306.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 46,3.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 46,11.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 46,4.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 46,7.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 46,11.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 46,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 46,29.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 46,235.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 47,1.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 47,20.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 47,9.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 47,2.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 47,12.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 47,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 47,25.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 47,169.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 48,11.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 48,14.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 48,10.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 48,4.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 48,36.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 48,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 48,21.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 48,132.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 49,5.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 49,25.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 49,9.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 49,12.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 49,52.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 49,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 49,22.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 49,99.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 50,7.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 50,44.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 50,19.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 50,25.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 50,87.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 50,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 50,14.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 50,64.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 51,17.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 51,46.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 51,29.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 51,31.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 51,83.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 51,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 51,12.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 51,60.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 52,25.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 52,54.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 52,46.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 52,43.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 52,90.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 52,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 52,10.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 52,54.0,cases,2022/2023,01. 0-5 måneder
